Rank,Book ID,Title,Relevance
1,130129,Black Conservatives: Are They Right or Wrong?,1
2,27294,The Origins of the Urban Crisis,1
3,61882,Civil rights: Rhetoric or reality?,1
4,29251,White Like Me: Reflections on Race from a Privileged Son,0
5,61646,Deep in Our Hearts: Nine White Women in the Freedom Movement,1
6,2519,No men are strangers,0
7,123528,Democracy Matters: Winning the Fight Against Imperialism,0
8,55003,Half-Breed (Goodread Biographies),1
9,131305,Halfbreed,1
10,51298,The Greatest Fight of Our Generation: Louis vs. Schmeling,1
11,70313,The Unknown Soldiers,0
12,167186,On black nationalism and self-determination,1
13,116175,Let It Shine: Stories of Black Women Freedom Fighters,1
14,79400,"Black Lies, White Lies: The Truth According to Tony Brown",1
15,182120,White Male Privilege: A Study of Racism in America: 40 Years After the Voting Rights,1
16,101380,"Affirmative Action: Racial Preference in Black and White (Positions: Education, Politics, and Culture)",1
17,80378,"Poverty, Chastity, and Change: Lives of Contemporary American Nuns (Twayne's Oral History Series)",0
18,39950,"Multicultural Politics: Racism, Ethnicity, and Muslims in Britain (Contradictions of Modernity)",0
19,187296,The Black O: Racism and Redemption in an American Corporate Empire,1
20,92461,A Taste of Reality,1
21,104466,"Black Boy (Signet, T2341)",0
22,110795,Black Boy - A Record of Childhood and Youth,0
23,183583,Black Boy CD,0
24,188850,Black Boy: A Record of Childhood and Youth,0
25,202996,Black Boy : A Record of Childhood and Youth,1
26,95219,Diversity Blues: How To Shake 'Em,1
27,111409,"A report from the United Nations World Conference Against Racism, Racial Discrimination, Xenophobia, and Related Intolerance, Durban, South Africa, 2001.: An article from: Social Justice",1
28,134858,Prejudice and Racism,1
29,101125,Becoming a Cosmopolitan: What It Means to Be a Human Being in the New Millennium,1
30,71726,Racism and Sexism: An Integrated Study,1
31,125737,Dreaming Me: An African-American Woman's Buddhist Journey,0
32,130619,Harlem at War: The Black Experience in WWII,1
33,117725,A Peek Through the Curtain,0
34,170294,The War Against Men,0
35,62177,Blacks and Social Justice,1
36,98312,A Colored Woman in a White World,1
37,27970,Empowering Women of Color,1
38,62466,The Road to Memphis,0
39,28245,Crossing the Color Line,1
40,137589,Understanding Prejudice and Discrimination,1
